
> meinumzugsrechner@0.1.0 start
> npx serve out -l 3000

 INFO  Accepting connections at http://localhost:3000
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/app/checklisten/page-9c735b551bcfa017.js
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 5 ms
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 3 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /partner/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/app/checklisten/umzugs-countdown/page-5b6dbc6bd468b3a7.js
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 2 ms
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 2 ms
 HTTP  23.4.2026 23:02:51 ::1 GET /_next/static/chunks/app/partner/page-5952e4ba7b9c25bb.js
 HTTP  23.4.2026 23:02:51 ::1 Returned 200 in 2 ms
 HTTP  23.4.2026 23:02:52 ::1 GET /kartonrechner.webp
 HTTP  23.4.2026 23:02:52 ::1 Returned 200 in 1 ms
 HTTP  23.4.2026 23:02:55 ::1 GET /lkw-rechner.webp
 HTTP  23.4.2026 23:02:55 ::1 Returned 200 in 1 ms
 HTTP  23.4.2026 23:02:56 ::1 GET /produkttipps.webp
 HTTP  23.4.2026 23:02:56 ::1 Returned 200 in 0 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /logo.webp
 HTTP  23.4.2026 23:03:20 ::1 GET /_next/static/css/7491c0b9899566f5.css
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /_next/static/chunks/webpack-5e5ed07fab1e2297.js
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /_next/static/chunks/4bd1b696-c023c6e3521b1417.js
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /_next/static/chunks/255-dda36e826969d334.js
 HTTP  23.4.2026 23:03:20 ::1 GET /_next/static/chunks/main-app-2e43a0ff843587c1.js
 HTTP  23.4.2026 23:03:20 ::1 GET /_next/static/chunks/619-ba102abea3e3d0e4.js
 HTTP  23.4.2026 23:03:20 ::1 GET /_next/static/chunks/239-17c63ab2a4f7ef9b.js
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 3 ms
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /_next/static/chunks/app/layout-ba2f158f55dbb2a9.js
 HTTP  23.4.2026 23:03:20 ::1 GET /_next/static/chunks/462-56e7946bd0a4d3c4.js
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /_next/static/chunks/app/page-5ec430826b5a3453.js
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /herohintergrund.webp
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /berechnung.webp
 HTTP  23.4.2026 23:03:20 ::1 GET /_next/static/media/98dc02b750625047-s.woff2
 HTTP  23.4.2026 23:03:20 ::1 GET /checklisten.webp
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 4 ms
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 3 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /manifest.webmanifest
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 5 ms
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 3 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /logo.png
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /rechner/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /so-rechnen-wir/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /kartonrechner/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:03:20 ::1 GET /lkw-rechner/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 3 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /ratgeber/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 4 ms
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /_next/static/chunks/app/rechner/page-b1df0aeebb292f00.js
 HTTP  23.4.2026 23:03:20 ::1 GET /ratgeber/ergonomie/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /_next/static/chunks/app/so-rechnen-wir/page-ef341a66506ffb14.js
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 3 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /ratgeber/profi-guide-verpacken/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 6 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /_next/static/chunks/app/kartonrechner/page-14a82cfffa32cfc5.js
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 5 ms
 HTTP  23.4.2026 23:03:20 ::1 GET /ratgeber/moderne-umzugslogistik/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 4 ms
 HTTP  23.4.2026 23:03:20 ::1 Returned 304 in 3 ms
 HTTP  23.4.2026 23:03:21 ::1 GET /_next/static/chunks/app/lkw-rechner/page-0f5943dbd8579a3e.js
 HTTP  23.4.2026 23:03:21 ::1 GET /ratgeber/steuerspartipps/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:03:21 ::1 Returned 304 in 3 ms
 HTTP  23.4.2026 23:03:21 ::1 Returned 304 in 3 ms
 HTTP  23.4.2026 23:03:21 ::1 GET /_next/static/chunks/app/ratgeber/page-9c735b551bcfa017.js
 HTTP  23.4.2026 23:03:21 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:21 ::1 GET /checklisten/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:03:21 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:21 ::1 GET /_next/static/chunks/app/ratgeber/ergonomie/page-98f07d842c129712.js
 HTTP  23.4.2026 23:03:21 ::1 GET /checklisten/umzugs-countdown/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:03:21 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:21 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:21 ::1 GET /_next/static/chunks/app/ratgeber/profi-guide-verpacken/page-98f07d842c129712.js
 HTTP  23.4.2026 23:03:21 ::1 GET /checklisten/essential-kit/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:03:21 ::1 Returned 304 in 3 ms
 HTTP  23.4.2026 23:03:21 ::1 Returned 304 in 3 ms
 HTTP  23.4.2026 23:03:21 ::1 GET /_next/static/chunks/app/ratgeber/moderne-umzugslogistik/page-98f07d842c129712.js
 HTTP  23.4.2026 23:03:21 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:21 ::1 GET /checklisten/standort-vorbereitung/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:03:21 ::1 Returned 304 in 3 ms
 HTTP  23.4.2026 23:03:21 ::1 GET /_next/static/chunks/app/ratgeber/steuerspartipps/page-98f07d842c129712.js
 HTTP  23.4.2026 23:03:21 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:21 ::1 GET /materialtipps/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:03:21 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:21 ::1 GET /_next/static/chunks/app/checklisten/page-9c735b551bcfa017.js
 HTTP  23.4.2026 23:03:21 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:21 ::1 GET /partner/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:03:21 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:21 ::1 GET /_next/static/chunks/app/checklisten/umzugs-countdown/page-5b6dbc6bd468b3a7.js
 HTTP  23.4.2026 23:03:21 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:21 ::1 GET /_next/static/chunks/app/partner/page-5952e4ba7b9c25bb.js
 HTTP  23.4.2026 23:03:21 ::1 Returned 304 in 2 ms
 HTTP  23.4.2026 23:03:26 ::1 GET /manifest.webmanifest
 HTTP  23.4.2026 23:03:26 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:26 ::1 GET /logo.png
 HTTP  23.4.2026 23:03:26 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:31 ::1 GET /ueber-uns/index.txt?_rsc=1j90g
 HTTP  23.4.2026 23:03:31 ::1 Returned 200 in 2 ms
 HTTP  23.4.2026 23:03:31 ::1 GET /impressum/index.txt?_rsc=1j90g
 HTTP  23.4.2026 23:03:31 ::1 GET /datenschutz/index.txt?_rsc=1j90g
 HTTP  23.4.2026 23:03:31 ::1 GET /agb/index.txt?_rsc=1j90g
 HTTP  23.4.2026 23:03:31 ::1 Returned 200 in 3 ms
 HTTP  23.4.2026 23:03:31 ::1 Returned 200 in 3 ms
 HTTP  23.4.2026 23:03:31 ::1 Returned 200 in 2 ms
 HTTP  23.4.2026 23:03:33 ::1 GET /manifest.webmanifest
 HTTP  23.4.2026 23:03:33 ::1 Returned 304 in 0 ms
 HTTP  23.4.2026 23:03:33 ::1 GET /logo.png
 HTTP  23.4.2026 23:03:33 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:34 ::1 GET /manifest.webmanifest
 HTTP  23.4.2026 23:03:34 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:34 ::1 GET /logo.png
 HTTP  23.4.2026 23:03:34 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:36 ::1 GET /manifest.webmanifest
 HTTP  23.4.2026 23:03:36 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:36 ::1 GET /logo.png
 HTTP  23.4.2026 23:03:36 ::1 Returned 304 in 0 ms
 HTTP  23.4.2026 23:03:39 ::1 GET /manifest.webmanifest
 HTTP  23.4.2026 23:03:39 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:39 ::1 GET /logo.png
 HTTP  23.4.2026 23:03:39 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:41 ::1 GET /kartonrechner.webp
 HTTP  23.4.2026 23:03:41 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:41 ::1 GET /lkw-rechner.webp
 HTTP  23.4.2026 23:03:41 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:03:41 ::1 GET /produkttipps.webp
 HTTP  23.4.2026 23:03:41 ::1 Returned 304 in 1 ms
 HTTP  23.4.2026 23:05:32 127.0.0.1 GET /
 HTTP  23.4.2026 23:05:32 127.0.0.1 Returned 200 in 2 ms
 HTTP  23.4.2026 23:19:08 ::1 GET /rechner/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:19:08 ::1 GET /so-rechnen-wir/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:19:08 ::1 Returned 200 in 3 ms
 HTTP  23.4.2026 23:19:08 ::1 Returned 200 in 4 ms
 HTTP  23.4.2026 23:25:25 ::1 GET /rechner/index.txt?_rsc=3lb4g
 HTTP  23.4.2026 23:25:25 ::1 GET /so-rechnen-wir/index.txt?_rsc=3lb4g
